Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
BHP,BHP GROUP LIMITED,36.74,-2.05278592,-0.77,Strong Sell,15075179,553862076.46,189986328271,4.4482654,8.4489,,Non-Energy Minerals
CBA,COMMONWEALTH BANK OF AUSTRALIA.,96.95,0.93701197,0.9,Sell,2183269,211667929.55,163272846515,16.18474758,6.2497,49245,Finance
CSL,CSL LIMITED,295.99,0.7488342,2.2,Buy,722506,213854550.94,141520488683,44.65436679,6.6962,30000,Health Technology
RIO,RIO TINTO LIMITED,90.19,-2.51837441,-2.33,Strong Sell,1868870,168553385.29999998,132094663708.99998,6.17813194,15.0719,49345,Non-Energy Minerals
NAB,NATIONAL AUSTRALIA BANK LIMITED,30.54,0.79207921,0.24,Strong Buy,4670206,142628091.24,95778231011,15.36355289,2.0502,33275,Finance
WBC,WESTPAC BANKING CORPORATION,21.4,0.80075365,0.17,Sell,4052776,86729406.39999999,74236301519,15.28988117,1.4544,40143,Finance
ANZ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,22.75,0.48586572,0.11,Sell,4314514,98155193.5,67592221166,10.16888205,2.372,40221,Finance
MQG,MACQUARIE GROUP LIMITED,177.2,1.57638292,2.75,Neutral,719950,127575139.99999999,64696874683,14.17566612,12.717,18133,Finance
WDS,WOODSIDE ENERGY GROUP LTD,33.65,0.53779504,0.18,Buy,5051831,169994113.15,63482508824,7.71607096,4.385,3684,Energy Minerals
FMG,FORTESCUE METALS GROUP LTD,17.2,-2.49433107,-0.44,Strong Sell,12040292,207093022.4,54283648503,6.35744369,2.7804,11693,Non-Energy Minerals
WES,WESFARMERS LIMITED,46.71,0.04283572,0.02,Sell,1560713,72900904.23,52953212306,22.49253252,2.0768,120000,Retail Trade
TLS,TELSTRA CORPORATION LIMITED.,3.94,-0.25316456,-0.01,Sell,26085135,102775431.9,45561402845,27.5261324,0.1436,28889,Communications
WOW,WOOLWORTHS GROUP LIMITED,36.7,0.76880835,0.28,Sell,2288190,83976573,44024584481,5.69026905,6.4304,198000,Retail Trade
TCL,TRANSURBAN GROUP,13.8,-0.36101083,-0.05,Sell,3003145,41443401,42583297059,3147.72727273,0.0044,9000,Transportation
TUL,TULLA RESOURCES PLC,0.485,-3,-0.015,Strong Sell,122473,59399.405,35950200000,,,,Non-Energy Minerals
STO,SANTOS LIMITED,7.73,0.78226858,0.06,Buy,9975651,77111782.23,25680373673,11.51824598,0.6699,3786,Energy Minerals
COL,COLES GROUP LIMITED.,17.56,-1.18176702,-0.21,Sell,4138733,72676151.47999999,23745837730,22.60239125,0.7862,120000,Retail Trade
ALL,ARISTOCRAT LEISURE LIMITED,34.58,-0.28835063,-0.1,Sell,1058155,36590999.9,23001044529,22.9258941,1.5144,7000,Consumer Services
WTC,WISETECH GLOBAL LIMITED,57.06,-2.07654024,-1.21,Buy,412311,23526465.66,18903491984,97.63739946,0.5998,2000,Technology Services
